Gênesis (GEN)
Capítulos: 50
Versículos por capítulo:
Capítulo 1: 31
Capítulo 2: 25
Capítulo 3: 24
Capítulo 4: 26
Capítulo 5: 32
Capítulo 6: 22
Capítulo 7: 24
Capítulo 8: 22
Capítulo 9: 29
Capítulo 10: 32
Capítulo 11: 32
Capítulo 12: 20
Capítulo 13: 18
Capítulo 14: 24
Capítulo 15: 21
Capítulo 16: 16
Capítulo 17: 27
Capítulo 18: 33
Capítulo 19: 38
Capítulo 20: 18
Capítulo 21: 34
Capítulo 22: 24
Capítulo 23: 20
Capítulo 24: 67
Capítulo 25: 34
Capítulo 26: 35
Capítulo 27: 46
Capítulo 28: 22
Capítulo 29: 35
Capítulo 30: 43
Capítulo 31: 55
Capítulo 32: 32
Capítulo 33: 20
Capítulo 34: 31
Capítulo 35: 29
Capítulo 36: 43
Capítulo 37: 36
Capítulo 38: 30
Capítulo 39: 23
Capítulo 40: 23
Capítulo 41: 57
Capítulo 42: 38
Capítulo 43: 34
Capítulo 44: 34
Capítulo 45: 28
Capítulo 46: 34
Capítulo 47: 31
Capítulo 48: 22
Capítulo 49: 33
Capítulo 50: 26

Êxodo (EXO)
Capítulos: 40
Versículos por capítulo:
Capítulo 1: 22
Capítulo 2: 25
Capítulo 3: 22
Capítulo 4: 31
Capítulo 5: 23
Capítulo 6: 30
Capítulo 7: 25
Capítulo 8: 32
Capítulo 9: 35
Capítulo 10: 29
Capítulo 11: 10
Capítulo 12: 51
Capítulo 13: 22
Capítulo 14: 31
Capítulo 15: 27
Capítulo 16: 36
Capítulo 17: 16
Capítulo 18: 27
Capítulo 19: 25
Capítulo 20: 26
Capítulo 21: 36
Capítulo 22: 31
Capítulo 23: 33
Capítulo 24: 18
Capítulo 25: 40
Capítulo 26: 37
Capítulo 27: 21
Capítulo 28: 43
Capítulo 29: 46
Capítulo 30: 38
Capítulo 31: 18
Capítulo 32: 35
Capítulo 33: 23
Capítulo 34: 35
Capítulo 35: 35
Capítulo 36: 38
Capítulo 37: 29
Capítulo 38: 31
Capítulo 39: 43
Capítulo 40: 38

Levítico (LEV)
Capítulos: 27
Versículos por capítulo:
Capítulo 1: 17
Capítulo 2: 16
Capítulo 3: 17
Capítulo 4: 35
Capítulo 5: 19
Capítulo 6: 30
Capítulo 7: 38
Capítulo 8: 36
Capítulo 9: 24
Capítulo 10: 20
Capítulo 11: 47
Capítulo 12: 8
